Method,Cluster,Size,Mean,Std,Min,Max,Silhouette_Mean
Hierarchical,0,15,0.49033000000000004,0.07612866818748375,0.37803,0.63318,0.46628115547792376
Hierarchical,1,33,0.28794939393939395,0.027702475323093962,0.24852,0.35006,0.6498342298827668
Hierarchical,2,52,0.19048673076923073,0.0323016611695456,0.08347,0.23716,0.5867416931267815
K-means,0,52,0.19048673076923073,0.0323016611695456,0.08347,0.23716,0.6277034320475715
K-means,1,36,0.29647222222222225,0.03885234971523681,0.24852,0.40014,0.5479985606768947
K-means,2,12,0.5153566666666667,0.06396702813863475,0.42094,0.63318,0.6097980744113526
